Date,Price,Open,High,Low,Vol.,Change %
2020-07-09,278.86,279.4,281.71,270.26,58.59M,2.08%
2020-07-08,273.18,281,283.45,262.27,81.56M,-1.72%
2020-07-07,277.97,281,285.9,267.34,107.45M,1.33%
2020-07-06,274.32,255.34,275.56,253.21,102.85M,13.48%
2020-07-02,241.73,244.3,245.6,237.12,86.25M,7.95%
2020-07-01,223.93,216.6,227.07,216.1,66.63M,3.69%
2020-06-30,215.96,201.3,217.54,200.75,84.59M,6.98%
2020-06-29,201.87,193.8,202,189.7,45.13M,5.17%
2020-06-26,191.95,198.96,199,190.97,44.27M,-2.66%
2020-06-25,197.2,190.85,197.2,187.43,46.27M,2.62%
2020-06-24,192.17,198.82,200.18,190.63,54.80M,-4.09%
2020-06-23,200.36,199.78,202.4,198.8,31.83M,0.75%
2020-06-22,198.86,199.99,201.78,198,31.81M,-0.66%
2020-06-19,200.18,202.56,203.19,198.27,43.40M,-0.30%
2020-06-18,200.79,200.6,203.84,198.89,48.76M,1.23%
2020-06-17,198.36,197.54,201,196.51,49.45M,0.98%
2020-06-16,196.43,202.37,202.58,192.48,70.26M,-0.88%
2020-06-15,198.18,183.56,199.77,181.7,78.49M,5.94%
2020-06-12,187.06,196,197.6,182.52,83.82M,-3.86%
2020-06-11,194.57,198.04,203.79,194.4,79.58M,-5.09%
2020-06-10,205.01,198.38,205.5,196.5,92.82M,8.97%
2020-06-09,188.13,188,190.89,184.79,56.94M,-0.97%
2020-06-08,189.98,183.8,190,181.83,70.87M,7.25%
2020-06-05,177.13,175.57,177.3,173.24,39.06M,2.46%
2020-06-04,172.88,177.98,179.15,171.69,44.44M,-2.10%
2020-06-03,176.59,177.62,179.59,176.02,39.75M,0.16%
2020-06-02,176.31,178.94,181.73,174.2,67.83M,-1.84%
2020-06-01,179.62,171.6,179.8,170.82,75.43M,7.56%
2020-05-29,167,161.75,167,160.84,59.06M,3.62%
2020-05-28,161.16,162.7,164.95,160.34,36.38M,-1.76%
2020-05-27,164.05,164.17,165.54,157,57.75M,0.17%
2020-05-26,163.77,166.9,166.92,163.14,40.45M,0.24%
2020-05-22,163.38,164.43,166.36,162.4,49.94M,-1.29%
2020-05-21,165.52,163.2,166.5,159.2,61.27M,1.48%
2020-05-20,163.11,164.1,165.2,162.36,36.55M,0.93%
2020-05-19,161.6,163.03,164.41,161.22,48.18M,-0.69%
2020-05-18,162.73,165.56,166.94,160.78,58.49M,1.81%
